OBJECTID,Loc_name,Status,Score,Match_type,X,Y,Match_addr,DISP_LON,DISP_LAT,ARC_Addres,ARC_City,ARC_State,ARC_ZIP,DCODE,DIVISION,RCODE,REGION,REGION_TYP,ECODE,CHAPTER,ADDRESS,CITY,STATE,ZIP
1,Street_Address,M,100,A,-86.79438,33.36594,"300 CHASE PARK S, HOOVER, AL, 35244", , ,300 Chase Park South,Hoover,AL,35244,D25,SEC,01R04,Alabama Region,RH,01019,American Red Cross serving Mid Alabama,300 Chase Park South,Hoover,AL,35244
2,Address_Points,M,100,A,-85.415661,32.634717,"206 26TH ST, OPELIKA, AL, 36801",-85.41597,32.63447,206 26th Street,Opelika,AL,36801,D25,SEC,01R04,Alabama Region,C,01176,American Red Cross serving East Alabama,206 26th Street,Opelika,AL,36801
3,Address_Points,M,89,A,-86.588863,34.744949,"1101 WASHINGTON ST NW, HUNTSVILLE, AL, 35801",-86.58966,34.74496,1101 Washington St.,Huntsville,AL,35801,D25,SEC,01R04,Alabama Region,C,01192,American Red Cross serving North Alabama,1101 Washington St.,Huntsville,AL,35801
4,Address_Points,T,78,A,-88.114617,30.693369,"57 N SAGE AVE, MOBILE, AL, 36607",-88.11512,30.69336,35 N Sage Ave,Mobile,AL,36607,D25,SEC,01R04,Alabama Region,C,01208,American Red Cross serving South Alabama,35 N Sage Ave,Mobile,AL,36607
5,Street_Address,M,100,A,-86.220837,32.360862,"5015 WOODS CROSSING DR, MONTGOMERY, AL, 36106", , ,5015 Woods Crossing Dr,Montgomery,AL,36106,D25,SEC,01R04,Alabama Region,C,01216,American Red Cross serving Central Alabama,5015 Woods Crossing Dr,Montgomery,AL,36106
6,Address_Points,M,96,A,-87.576543,33.22711,"1622 LURLEEN B WALLACE BLVD, NORTHPORT, AL, 35476",-87.57717,33.22711,1622 Lurleen Wallace Blvd.,Northport,AL,35476,D25,SEC,01R04,Alabama Region,C,01288,American Red Cross serving West Alabama,1622 Lurleen Wallace Blvd.,Northport,AL,35476
7,Address_Points,M,91,A,-149.879667,61.214614,"235 E 8TH AVE, ANCHORAGE, AK, 99501",-149.87967,61.2147,235 East 8th Avenue,Achnorage,AK,99501,D21,Pacific,02R04,American Red Cross of Alaska Region,RH,02012,ARC of Alaska,235 East 8th Avenue,Achnorage,AK,99501
8,Address_Points,M,100,A,-112.111928,33.525972,"6135 N BLACK CANYON HWY, PHOENIX, AZ, 85015",-112.11156,33.5264,6135 N. Black Canyon Highway,Phoenix,AZ,85015,D22,SWARM,03R04,Arizona New Mexico El Paso Region,RH,03008,American Red Cross of Greater Phoenix,6135 N. Black Canyon Highway,Phoenix,AZ,85015
9,Address_Points,M,100,A,-111.680622,35.188693,"1750 S RAILROAD SPRINGS BLVD, FLAGSTAFF, AZ, 86001",-111.68049,35.18863,1750 S. Railroad Springs Blvd. 1,Flagstaff,AZ,86001,D22,SWARM,03R04,Arizona New Mexico El Paso Region,C,03049,American Red Cross of Northern AZ,1750 S. Railroad Springs Blvd. 1,Flagstaff,AZ,86001
10,Address_Points,M,84,A,-110.92869,32.221569,"2916 E BROADWAY BLVD, TUCSON, AZ, 85716",-110.92869,32.22094,2916 East Broadway Blvd.,Tucson,AZ,85712,D22,SWARM,03R04,Arizona New Mexico El Paso Region,C,03060,American Red Cross of Southern AZ,2916 East Broadway Blvd.,Tucson,AZ,85712
