"DISASTER","STATE","COUNTY","CITY","ZIP_CODE","VALID_REGISTRATIONS","AVERAGE_FEMA_INSPECTED_DAMAGE","TOTAL_INSPECTED","TOTAL_DAMAGE","NO_FEMA_INSPECTED_DAMAGE","FEMA_INSPECTED_DAMAGE_BETWEEN_1_10K","FEMA_INSPECTED_DAMAGE_BETWEEN_10K_20K","FEMA_INSPECTED_DAMAGE_BETWEEN_20K_30K","FEMA_INSPECTED_DAMAGE_GT_30K","APPROVED_FOR_FEMA_ASSISTANCE","TOTAL_APPROVED_IHP_AMOUNT","REPAIR_REPLACE_AMOUNT","RENTAL_AMOUNT"
4332,"TX","Jefferson (County)","BE",77713,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Jefferson (County)","BEA",77705,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Jefferson (County)","BMT",77713,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HOU",77028,2,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HOU",77035,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HOU",77044,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HOU",77090,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HUM",77396,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Fort Bend (County)","KTY",77450,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Brazoria (County)","PEA",77581,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Hardin (County)","RYE",77585,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","SPR",77388,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","DeWitt (County)","YOR",78164,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Aransas (County)","AZLE",76020,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Fort Bend (County)","BUDA",78610,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Hardin (County)","BUNA",77612,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Jefferson (County)","BUNA",77612,2,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HOUS",77087,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Jackson (County)","INEZ",77968,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","IOLA",77861,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","KATY",77043,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","KATY",77084,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","KATY",77949,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Fayette (County)","PLUM",78952,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Brazoria (County)","ROSH",77583,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Colorado (County)","BRYAN",77801,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Brazoria (County)","CLUTE",77566,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","CYPRE",77433,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Hardin (County)","KEMAH",77565,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Hardin (County)","LUMBE",77657,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Brazoria (County)","MANVE",77578,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","PLANO",75074,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Fort Bend (County)","RICHM",77469,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Fayette (County)","SEALY",77474,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Grimes (County)","SHIRO",77876,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Galveston (County)","TEXAS",77573,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","TROUP",75789,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Jasper (County)","VIDOR",77622,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","ARCOLA",77583,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Aransas (County)","AUSTIN",78728,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Austin (County)","AUSTIN",78444,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Austin (County)","AUSTIN",78703,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Austin (County)","AUSTIN",78704,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Austin (County)","AUSTIN",78750,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Austin (County)","AUSTIN",78753,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Austin (County)","AUSTIN",78757,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","AUSTIN",78701,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","AUSTIN",78704,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","AUSTIN",78729,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Fort Bend (County)","BOLING",77420,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Galveston (County)","CONROE",77384,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Calhoun (County)","CROSBY",77532,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","CYPESS",77429,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Aransas (County)","DALLAS",75219,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Aransas (County)","DALLAS",75220,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Aransas (County)","DALLAS",75228,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Austin (County)","DALLAS",75229,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","DeWitt (County)","DALLAS",75205,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Jackson (County)","DALLAS",75219,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Brazoria (County)","FORNEY",75126,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HARPER",78631,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Aransas (County)","HOBSON",78117,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HOSTON",77036,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HOUSTO",77086,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HUMBLE",77016,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HUMBLE",77347,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HUMBLE",77436,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Karnes (County)","KENEDY",78118,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Brazoria (County)","LAKE J",77566,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Jackson (County)","LAWARD",77970,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Calhoun (County)","LOLITA",77979,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","LUFKIN",75904,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Gonzales (County)","LULING",78648,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Jasper (County)","NEWTON",75966,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Jefferson (County)","NEWTON",75966,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Bee (County)","ODESSA",79762,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Galveston (County)","ODESSA",79763,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","ODESSA",79764,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Hardin (County)","ORANGE",77630,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","ORANGE",77632,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Bee (County)","PETTUS",78102,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Aransas (County)","POTEET",78065,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","SHINER",77984,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Hardin (County)","SILSEE",77656,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Chambers (County)","SPRING",77380,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Hardin (County)","SPRING",77379,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","SPRING",77374,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","SPRING",77380,3,0,2,0,2,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","WILLIS",77378,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Chambers (County)","WINNIE",77484,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","BAYSIDE",78340,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","BAYTOWN",77507,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Jefferson (County)","BAYTOWN",77521,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Bee (County)","BLOSSOM",75416,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","BUFFALO",75831,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","CUPRESS",77433,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Aransas (County)","EL PASO",79928,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Aransas (County)","EL PASO",79930,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","EL PASO",79936,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HIUSTON",77034,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HOSUTON",77047,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Brazoria (County)","HOUSTON",77013,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Brazoria (County)","HOUSTON",77014,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Brazoria (County)","HOUSTON",77016,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Brazoria (County)","HOUSTON",77018,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Brazoria (County)","HOUSTON",77030,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Brazoria (County)","HOUSTON",77051,2,0,2,0,2,0,0,0,0,0,0,0,0
4332,"TX","Brazoria (County)","HOUSTON",77053,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Brazoria (County)","HOUSTON",77070,2,0,2,0,2,0,0,0,0,0,0,0,0
4332,"TX","Brazoria (County)","HOUSTON",77082,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Brazoria (County)","HOUSTON",77092,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Brazoria (County)","HOUSTON",77584,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Chambers (County)","HOUSTON",77009,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Fort Bend (County)","HOUSTON",77004,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Fort Bend (County)","HOUSTON",77026,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Fort Bend (County)","HOUSTON",77030,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Fort Bend (County)","HOUSTON",77033,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Fort Bend (County)","HOUSTON",77035,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Fort Bend (County)","HOUSTON",77040,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Fort Bend (County)","HOUSTON",77061,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Fort Bend (County)","HOUSTON",77082,2,0,2,0,2,0,0,0,0,0,0,0,0
4332,"TX","Fort Bend (County)","HOUSTON",77084,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Fort Bend (County)","HOUSTON",77096,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Fort Bend (County)","HOUSTON",77406,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Fort Bend (County)","HOUSTON",77450,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Fort Bend (County)","HOUSTON",77478,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Fort Bend (County)","HOUSTON",77494,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Fort Bend (County)","HOUSTON",77498,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Galveston (County)","HOUSTON",77017,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Galveston (County)","HOUSTON",77021,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Galveston (County)","HOUSTON",77029,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Galveston (County)","HOUSTON",77062,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Galveston (County)","HOUSTON",77075,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Galveston (County)","HOUSTON",77077,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Hardin (County)","HOUSTON",77083,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HOUSTON",70811,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HOUSTON",77010,4,0,4,0,4,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HOUSTON",77102,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HOUSTON",77208,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HOUSTON",77251,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HOUSTON",77272,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HOUSTON",77292,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HOUSTON",77338,2,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HOUSTON",77379,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HOUSTON",77429,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HOUSTON",77469,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HOUSTON",77489,2,0,2,0,2,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HOUSTON",77493,3,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HOUSTON",77498,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HOUSTON",77501,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HOUSTON",77505,2,0,2,0,2,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HOUSTON",77506,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Jasper (County)","HOUSTON",77056,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","KEMPNER",76539,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Calhoun (County)","KILLEEN",76549,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Jefferson (County)","KOUNTZE",77625,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Brazoria (County)","LA JOYA",78560,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Galveston (County)","LIBERTY",77575,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Bee (County)","NORMANA",78142,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Fort Bend (County)","ORCHARD",77485,2,0,2,0,2,0,0,0,0,0,0,0,0
4332,"TX","Fort Bend (County)","RICHMON",77407,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Jefferson (County)","STOWELL",77661,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Bee (County)","TULISTA",78119,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Galveston (County)","WEBSTER",77539,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Galveston (County)","WEBSTER",77598,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","AMARILLO",79103,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","BEAUMONT",77706,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","BEAUMONT",77707,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Jefferson (County)","BEAUMONT",77657,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","BELLAIRE",77402,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Jefferson (County)","BELMOUNT",77713,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Austin (County)","BENBROOK",76126,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Bee (County)","BERCLAIR",78107,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Austin (County)","BURLESON",76028,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Caldwell (County)","BURLESON",76028,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Brazoria (County)","FREEPORT",77542,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Fort Bend (County)","FREEPORT",77541,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Fort Bend (County)","HOUISTON",77083,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HOUSSTON",77085,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","HOUSTION",77016,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Aransas (County)","KINGWOOD",77339,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","KINGWOOD",77365,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","LA PORTE",77507,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","LOVELADY",75851,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Austin (County)","MESQUITE",75181,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Bee (County)","MESQUITE",75149,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Fort Bend (County)","MISSOURI",77459,2,0,2,0,2,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","MULESHOE",79347,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Grimes (County)","NAVASOTA",77867,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Bee (County)","NORMANNA",78102,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Karnes (County)","PALACIOS",77465,1,0,1,0,1,0,0,0,0,0,0,0,0
4332,"TX","Harris (County)","PATTISON",77423,1,0,1,0,1,0,0,0,0,0,0,0,0
