"COMMENTTEXT","PATTERN_POLARITY","PATTERN_SUBJECTIVITY","NAIVESBAYES_PROBABILITY_POSITIVE","NAIVESBAYES_PROBABILITY_NEGATIVE"
"$50,000 max price should be set on base MSRP (excluding options). This artificial limit prevents people from transitioning to the best EV cars available. Over time, electric cars will come down in price, but the initial batches will be more expensive. The spirit of this law is to encourage people to invest in renewable resources. By adding limits in this way, it discourages people from getting the best product available, thus delaying the time that they transition to sustainable resources.",0.124444444,0.488888889,0.988315429,0.011684571
"Incentives are proven to promote the adoption of EVs, which clear the air, spare the environment to the benefit of society. I support the rebate program.",0.1,0.383333333,0.982796399,0.017203601
"HELL YA! Do it Oregon! Electric vehicles or bust. Fossil fuels should have died a long time ago. Charge Ahead!",-0.0625,0.4,0.398361729,0.601638271
"The rebate should apply to the base model price of the electric car.  Chevy Bolt, Tesla Model 3, and others would qualify for base price but can go over $50K if such options as longer range and quick charge ability are added to the car.  It would be difficult to justify some models of the same type of car being eligible and others not being eligible.  Determining from the base price would eliminate that confusion for car models that should be eligible for the program.  I can appreciate that the luxury models with higher base price than $50K may be excluded.",-0.346296296,0.736111111,0.795551975,0.204448025
"Please make the rebates effective Jan 1. Anything else is not fair to those who depended on the law, which, after all, was passed many months ago now.  Please offer the maximum rebate amount.  The whole ̢����scrap your old car̢��� and ̢����live in a poor air quality neighborhood̢��� requirements should be scrapped. How does a person figure out if they live in ̢����an area of the state with elevated concentrations of air contaminants commonly attributable to motor vehicle emissions?̢��� And why̢���s it matter? If I live on a bucolic, clean-aired farm, but commute into smogsville every day, the people of smogsville still benefit from my zero-emissions vehicle, regardless of where I reside.  And why does someone with a 20-year old car to scrap get $2500, but someone with a 19-year old car doesn̢���t? Encouraging low- and moderate-income people to get EVs should not depend on where they live or how old their current car is.  ̢����Area median income̢��� is confusing in several ways:   What year̢���s median household income are we looking at? The year prior to purchase? The year of the last census?  What year̢���s buyer income are we looking at? If one buys the car in 2018, does one determine whether one qualifies as ̢����low or moderate income̢��� based on income on 2017 tax forms? What if 2017 income is ̢����moderate,̢��� but 2018 income is above that level?  Oregon must rely on a particular analysis to determine median household income. The regs should indicate where to find that analysis.  Is the median Household income based on number of occupants in the household? Are there different ̢����median household incomes̢��� based on household size?   New topic - typo:  340-270-0120 (2)(f) - the word ̢����Agrees̢��� should be ̢����Agree̢���  340-270-0430 (1)(c) - do you want to say that the high-emission vehicle to be scrapped must have been registered to the person applying for the rebate for 2 years? Or just registered? Is there anything to stop one from buying an old car purely to scrap it for the rebate? Or is that consistent with the intent of the regs, as it still gets the vehicle off the road?",0.060237294,0.381649832,0.68089851,0.31910149
"I firlmy believe that the public at every level administration must support the switch to renewable energy, and strongly support the Oregon rebate program. On a personal note, quite a few of us were assured that we needed to lease (in our case) a car before the first of 2018 in order to be eligible for the rebate, and we budgeted for that. So I would ask that people who switched to renewable anytime after the progam began in October 2017 be eligible. Thank you",0.096666667,0.306666667,0.995333675,0.004666325
"Shoud honor the bill: provisions of HB 2017 establishing this program became effective on October 6, 2017 for us that purchased EV before end of year.  Why arbitrarily changing to 1/1/18. that is not what bill says and we took action based on this.",0.2,0.5,0.961548946,0.038451054
"Thank you for offering the $2,500 rebate for EVs by law and for making all qualified vehicles purchased after Jan 1, 2018 be included.  I would also like to have this rebate extend into 2019 for at least $2,500 or more.",0.1,0.45,0.453329706,0.546670294
"For the Zero-Emission and Electric Vehicle rebate program I have several concerns. First, it appears that the program provisions listed just above Section 148 of HB2017 say that the provisions of the program are operative January 1, 2018, while Section 156 of HB2017 says that rebates may be issued for vehicles that were leased on or after the effective date of HB2017 (October 6, 2017). Rebates should be issued for those vehicles purchased or leased on or after October 6, 2017. Second, Section 148 (e) of HB2017 says the base manufacturer's suggested retail price needs to be less than $50,000. The price determined to be base should be that of the lowest cost configuration of a particular model name, not including any extra features such as extended range, premium interior, additional cost color options, or software upgradable features, etc. Third, the rebate amount should be variable based on type of vehicle. Since the first year (2018) it is only available to limited types of vehicles that are most likey to be long range, multi passenger, and have the biggest impact on the environment, the full amount should be available. For future years when low speed vehicles and motorcycles that will generally be of higher overall efficency will be included, a tiered rebate amount for them to allow for more total rebates could be beneficial.",0.068406593,0.389789377,0.997558052,0.002441948
"As a tax payer, I fully support this new proposal.  Oregon should continue to be in the forefront of all 50 states in efforts to reduce the need for fossil fuels and its impact on the environment. Let Oregon be a leader!",0.170454545,0.454545455,0.994453986,0.005546014
"Great idea! This benefits the environment as well as all Oregonians!",1,0.75,0.777960446,0.222039554
"What about a rebate for my 2017 Toyota Prius Prime bought in 2017.  Also where is my voucher verifying my purchase of a new, clean wood stove that I was supposed to submit with my 2016 income tax return.  ORDOE never came up with it.",0.251515152,0.577272727,0.006033195,0.993966805
"I have enjoyed driving an EV since 2008 when I bought a ZAP Xebra with the help of an Oregon EV tax credit. EVs are the future of transportation. This rebate will help more people be able to afford to invest in the appropriate and clean technology.",0.394444444,0.525,0.934809819,0.065190181
"I would encourage that the proposed rule of a $50,000 cap on the suggested BASE MSRP remain the rule, excluding additional upgrade options like longer range batteries or software packages.  This would allow for the quicker adoption of EV's by purchasers who are already stretching their budgets to purchase clean vehicles.",-0.216666667,0.85,0.535067793,0.464932207
"Thank you for proposing rebates for zero emission vehicles.  It is important to encourage use of this new technology to hasten our reduction in burning fossil fuels.  I support the rebate plan.",0.268181818,0.727272727,0.961895565,0.038104435
"I support the rules",0,0,0.672897406,0.327102594
"Mmm",0,0,0.5,0.5
"I am against subsidizing the electric Car industry.",0,0,0.715775073,0.284224927
