"YEAR","MONTH","MAKE","MODEL","QUANTITY","PCT"
2013,12,"BMW ","BMW X1",65,0.6
2013,1,"BMW ","BMW X3",195,1.7
2013,5,"BMW ","BMW X3",136,1.1
2013,9,"BMW ","BMW X3",138,1.1
2013,12,"BMW ","BMW X3",83,0.7
2014,1,"BMW ","BMW X3",186,1.6
2014,2,"BMW ","BMW X3",147,1.3
2014,3,"BMW ","BMW i3",336,2.4
2014,4,"BMW ","BMW i3",236,1.9
2014,5,"BMW ","BMW i3",131,1.1
2014,6,"BMW ","BMW i3",146,1.3
2014,7,"BMW ","BMW i3",124,1.1
2014,8,"BMW ","BMW i3",202,1.8
2014,9,"BMW ","BMW i3",149,1.3
2014,10,"BMW ","BMW i3",130,1
2014,11,"BMW ","BMW i3",156,1.4
2013,5,"Audi ","Audi A3",211,1.8
2013,7,"Audi ","Audi A3",222,2
2013,8,"Audi ","Audi A3",213,1.8
2013,9,"Audi ","Audi A3",196,1.6
2013,10,"Audi ","Audi A3",202,1.6
2013,11,"Audi ","Audi A3",147,1.2
2013,12,"Audi ","Audi A3",170,1.5
2014,1,"Audi ","Audi A3",151,1.3
2014,3,"Audi ","Audi A3",201,1.5
2014,4,"Audi ","Audi A3",240,2
2014,5,"Audi ","Audi A3",219,1.8
2014,6,"Audi ","Audi A3",196,1.7
2014,7,"Audi ","Audi A3",222,1.9
2014,8,"Audi ","Audi A3",200,1.7
2014,9,"Audi ","Audi A3",146,1.3
2014,10,"Audi ","Audi A3",221,1.7
2014,11,"Audi ","Audi A3",157,1.4
2013,1,"Audi ","Audi A4",179,1.5
2013,2,"Audi ","Audi A4",169,1.5
2013,3,"Audi ","Audi A4",139,1.3
2013,4,"Audi ","Audi A4",247,1.8
2013,5,"Audi ","Audi A4",197,1.6
2013,6,"Audi ","Audi A4",159,1.5
2013,7,"Audi ","Audi A4",185,1.6
2013,8,"Audi ","Audi A4",135,1.2
2013,9,"Audi ","Audi A4",148,1.2
2013,10,"Audi ","Audi A4",170,1.3
2013,11,"Audi ","Audi A4",122,1
2013,12,"Audi ","Audi A4",103,0.9
2013,12,"Audi ","Audi Q3",59,0.5
2013,5,"Ford ","Ford Kuga",171,1.4
2013,7,"Ford ","Ford Kuga",158,1.4
2013,12,"Ford ","Ford Kuga",174,1.5
2014,1,"Ford ","Ford Kuga",152,1.3
2013,12,"Kia ","Kia cee'd",59,0.5
